country,tue,wed,thu,fri,sat,sun,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,hours_1,hours_2,hours_3,hours_4,hours_5,jan,mon,hours_0
POR,0.2869523517563428,0.46175291128933027,0.456576891101807,0.4260194217108598,-0.25188039514163396,-0.5945566791439053,0.7731213430227809,0.24400779055636646,-0.09033627943458444,-0.18052793727972605,-0.0902179849059298,0.18192333260705318,-0.19071452892941576,0.07650035469049987,-0.07430934906187459,0.2612478536644496,0.5282236579538473,-0.9614727371781443,0.20350111967417095,0.46883628862987836,0.45583865533147405,0.48735042485328883,0.7105607088052827,0.4311258235796339,-1.1839128284137557
ESP,0.21470630483339442,0.3864482584120554,0.3651521911949989,0.30030606667680554,-0.32902032538650666,-0.7544971663611777,0.6962916049192764,0.13210123932640871,-0.2563530586126657,-0.32462528042945643,-0.047955466966024096,0.19181359427056738,0.00799621921765753,-0.01478178765821675,-0.2946672449755057,0.038329772502428194,0.20752517891640848,-1.2440853650351242,0.5482024964750696,0.390398917195031,0.4552079538545481,0.002855438651784503,0.4900218033267572,0.3780147996689716,-0.6613135039878532
FRA,0.024965097147378934,0.16280818268296504,0.14834647246337362,0.10081062610797908,-0.3483452778949431,-0.5692223915875236,1.4247267510126245,0.4862462967043025,-0.0730508559894818,-0.5833620822518775,-0.7113105609672083,-0.7191931392593707,-0.9915159347407723,-0.6797342454526984,-0.3952521598425045,0.4271511521077731,0.9341264116977992,-0.6905303340761177,0.27101227653043813,0.04791640231988903,0.07291173588236344,-0.10184115655721504,1.1083727603494997,0.14696642499969803,-0.3448085992023502
BEL,0.14682812102790932,0.3708926855321465,0.36144860008269875,0.28298550341565,-0.4376634017929703,-0.7469091335536497,0.8618418430596089,0.369166314556592,-0.038739143518025265,-0.341871452494828,-0.3328553342560764,-0.5769986924951046,-0.525053214172099,-0.20614868946737003,0.05377069160389619,0.2835030899969384,0.41228560749140586,-1.1378803199242866,0.5001946260806923,0.3769281407864099,0.3865224786952962,-0.14444628004495808,0.7151176430673984,0.33665674000537893,-0.6053536670990334
CHE,0.09782729634093501,0.1799099035763403,0.15603547264178852,0.09456177798636123,-0.4421621419258026,-0.6408742564607526,1.312559598312319,0.6135776662631508,-0.22002938238427433,-0.8335219364278735,-0.6938469713971669,-1.0057564948062332,-0.8319830016268407,-0.4400600341182717,-0.17997484866367813,0.35666617109218934,0.9054156627146103,-0.5779330543450772,0.26595894159964484,0.14817789198785336,0.02188632753588715,-0.32034172997924915,1.0398233211705432,0.19480913937911581,-0.30941476110526167
LUX,0.11757848139700733,0.2030279462619442,0.24576116641566337,0.3481738239990577,-0.23917824137841692,-0.7062066449951174,0.6228969358283047,0.28076499706182806,0.03796669751329368,-0.13381471518218607,-0.09585917608399558,-0.016810886906313494,-0.5545379060227027,-0.1835704194085666,-0.09950056770176624,0.0431387377517663,0.0427799446005912,-0.9191574086758839,0.46202886092248097,0.3263812368813195,0.3318972728890204,-0.22685285226682222,0.4705996557229057,0.31204535454814,-0.4625133877172134
NLD,0.254686223434771,0.36753581658835677,0.3789735133358405,0.3191198707742514,-0.34690076860954955,-0.6455836751363956,0.5104257185651356,0.17084036579237832,-0.0847350492770379,-0.17654234206520225,-0.17208563173972136,-0.16342496810798457,-0.2021621530913471,-0.059028711634580566,0.07013482001867943,0.29399756472073013,0.4136038508622867,-1.2834793631514616,0.6251866586658152,0.6040946566988266,0.5554833628251695,-0.22809283138228764,0.49597785082241097,0.353409446230873,-0.7376408862829986
ITA,0.181978653075174,0.42989750767081103,0.42689253526153526,0.38056233783508975,-0.2815089097687742,-0.7654848074865507,0.3885902656276008,0.10619458133489257,-0.2425294708940895,-0.1932995770476298,0.16497224937672728,0.5327673868161806,-0.2139409104485137,0.12803599953596323,-0.021940249858013017,0.07263917438872647,-0.038871035088488326,-1.2039302380601389,0.642625270514264,0.4633138576382978,0.5584126723799131,-0.15014046531626576,0.18614612264811525,0.40667598165513485,-0.6555489882309431
DEU,0.24646986386113562,0.40083369969681143,0.362996595042747,0.2740539202545726,-0.49196633179398613,-0.8929978095110873,0.48621162368823273,0.12306615001537075,-0.06840815091786007,-0.252500947814337,-0.277993758662706,-0.238899614963142,-0.3223532322618852,-0.08128175075620275,0.023905814860523844,0.31545811663023,0.108343969023796,-1.2030093068758472,0.6203719583876,0.4687151734098168,0.3924740231142448,-0.36239356674398704,0.30874680128552284,0.3913954867424135,-0.41034180734425774
AUT,0.18638197458884387,0.30768640981609074,0.29794342685688646,0.19972453426268755,-0.49703908682331577,-0.8811148088639223,0.6117001838067078,0.1986482064635448,-0.19370076243360748,-0.4270398212435439,-0.3289137964515275,-0.34529798757086916,-0.4749897513678881,-0.22152375930512783,-0.06894511825186272,0.22452916342270096,0.3171012676331359,-1.27442681458926,0.675312267156643,0.40407307276038884,0.397966983469748,-0.5249401339331274,0.43902686902398286,0.3150304202617923,-0.2340437830817918
DNK,0.1863726888209417,0.23349542717708072,0.23579748577132353,0.08518390100444628,-0.4589056826359715,-0.5155503374379882,0.6654534618819488,0.2211138217216611,-0.19232149914846763,-0.5943249960187919,-0.3981042214028868,-0.5321836839967559,-0.2817602671226286,-0.31785642665404257,0.07755970468438922,0.37997182442618677,0.5441736665790822,-1.2232452086829295,0.5846913897053551,0.3702541517323624,0.5124161190932025,-0.4387885495981299,0.7617641723993909,0.24113694415286713,-0.4290865285572392
CZE,0.17856681559849763,0.28440181148742216,0.28860820420530253,0.17092655358182185,-0.5891791854641424,-0.7302652892521584,0.9428289981141524,0.35403486524990546,-0.12572095251211035,-0.4721645473396924,-0.4589151112432305,-0.7512815028742562,-0.719520832192953,-0.2827933049443928,-0.00927515224775588,0.41755331406813423,0.37752889454289407,-1.057713122510755,0.46265320393674114,0.389169916370815,0.318260607797629,-0.44315484713047737,0.7073453376545868,0.2768128131313211,-0.3162794805582675
POL,0.1659084437868963,0.35061620338554056,0.3343340095361784,0.3067656241448986,-0.2737919324251734,-0.8276501013097634,0.6376989385137497,0.26866901507297863,-0.14452841889299367,-0.4343809291943305,-0.3249531933887438,-0.30369808253227476,-0.373341621260222,-0.1321650741537394,0.16811086130528052,0.33505316373673416,0.40653612717761917,-1.2175874493517953,0.46402901946130326,0.4319169057028627,0.5380049527620312,-0.1695448893089207,0.5449215012059492,0.33958008612184065,-0.5789194123094443
HUN,0.11906114298849158,0.3219451160195834,0.33144898600351,0.26701445496574894,-0.3170435403794668,-0.6515365233696322,0.6159854812911206,0.1194327985709529,-0.18514338211077497,-0.39431029185940236,-0.14624499789437018,-0.051992791428640106,-0.34139196855041043,-0.12237933681962287,0.03339972613026043,0.3476002779039824,0.25500881785200114,-1.3790226606103206,0.5293090656274069,0.4809690042495409,0.56743339435345,-0.13961410676321417,0.453109415702148,0.2878795028093142,-0.4957360012176768
SVK,0.12608425644890597,0.2960370941487094,0.28306059767333125,0.2059901215401454,-0.4148691979779596,-0.6924564016111397,0.8766482388102554,0.33887979911826027,-0.1978341394601577,-0.4952112453721347,-0.42935437723390946,-0.5319945831146728,-0.5755126701597912,-0.2750209856346135,0.08217147974389427,0.40105211833514476,0.44656156037471084,-1.2108450504891723,0.513120429777337,0.3563554113848454,0.4412316893515634,-0.26332375483957915,0.6681239244243689,0.2843764711941944,-0.43117309131177195
SVN,0.10334648318708284,0.303098827821924,0.3138768135406227,0.2299955272251294,-0.34775489004474003,-0.624835807338302,0.7298409176423253,0.11803999664074705,-0.2484653268698347,-0.4358645605112359,-0.19468534187023545,-0.049936969796941066,-0.21382012458586364,-0.12470627213588159,-0.1360768940012954,0.15275473566710873,0.3620859228725871,-1.243420401840956,0.5417951511115792,0.27946681104596227,0.5420887130539215,-0.13849114471074275,0.5055181705026641,0.2674894404226683,-0.44710787347212644
HRV,0.1310551472367959,0.2319989618955941,0.22769456583601377,0.19839327490625414,-0.09553681157966265,-0.38460309698369854,0.8688034211222146,0.21593472329504662,-0.17131005948376263,-0.4654417857318963,-0.3035679635107945,0.0046625897258439075,-0.06312247995649875,-0.25868379848868794,-0.1541467764836005,0.19647179792055083,0.6969040739956283,-1.3553260656051216,0.49347687891042125,0.3232823605408176,0.6478949511166928,0.1481735761299371,0.6920172848462612,0.20987844445757609,-0.6951745352906463
GRC,0.060564227581618835,0.1837072374151093,0.19641979112337105,0.15016843148360715,-0.0745833393149018,-0.4194211229382331,0.43864198382640407,-0.12300686722350851,-0.6727854710173377,-0.6814308599661488,0.055739582773146945,0.91643587579422,0.5434528543266862,-0.2697142797583808,-0.497109296507232,-0.08782740247010379,0.5551717933649695,-0.9342175209583152,0.03039110357346808,-0.05910899710627704,0.916626418508446,0.12702168377482081,0.5922957599138895,0.1892325297379437,-0.5201539949414435
ALB,0.03457694808139977,0.09848231136212937,0.1017934669906333,0.07187111453871009,-0.06205412481937933,-0.16487221815776887,1.1838294570019128,0.5597614757722105,-0.06282313279064594,-0.6136690694275503,-0.6086754767210946,-0.5403010350531906,-0.5380203770435804,-0.6075334762436048,-0.18544394835651185,0.3700847448076065,1.1890862510466107,-0.9423255687960184,0.21347564505906713,0.07548237303723071,0.46886362534085047,0.25100184035530715,1.1541009712906638,0.0750955096173127,-0.6645653013608723
MKD,-0.011730997519459718,0.0630814236713888,0.06743972456624747,0.04293015009619339,-0.05508728392136364,0.03203285297905745,1.1808487198058266,0.5555259253135525,0.005772890711995058,-0.5657696346847972,-0.6012214944090596,-0.5177373631419026,-0.5350131945779432,-0.6228989708470639,-0.2503608533282856,0.3579929074894216,1.2470818291003707,-0.8212311379636758,0.06087622724149688,0.10011983608418662,0.4229096038397304,0.35288036235831566,1.3151143714934865,0.03689518935536307,-0.7502135458639486
BGR,0.02572377790000724,0.1213950078378141,0.1186549874421241,0.07993497668482163,-0.18360724433220077,-0.25846025320724997,1.2244440909277337,0.3093191998949446,-0.339470000785565,-0.7499343186860306,-0.5856388711823195,-0.3906376563212398,-0.39123600996259944,-0.5367306595009218,-0.20473439711599617,0.37412982078935597,1.1138310978723844,-0.9531269758550871,0.15169142139931124,0.06274572820878332,0.4835451509027362,0.17484571894868628,1.240584202750597,0.09169932467904562,-0.6142409585803655
MNE,0.04179098101876866,0.09859371562275565,0.09971391705907262,0.07225841161769408,-0.04367640979098564,-0.10646737647172522,1.1823254835403934,0.540525729913705,-0.05324589859677822,-0.5919168553292359,-0.5391600339213224,-0.3495741576288177,-0.31867297466577316,-0.5782587995083343,-0.3131307860856959,0.2305920644986262,1.0879071660517992,-0.9975039503392187,0.23333670731743728,0.11342092192479458,0.512888183348384,0.2730358369615862,1.15070344712533,0.07819493663818022,-0.7175952702310233
BIH,0.09079261615130385,0.1595833044182352,0.1605354024998602,0.1374574950101246,0.005215247316630478,-0.1962977363330758,0.9595139431963919,0.3400796967046375,-0.08425144530548305,-0.49061474695584245,-0.40074719293820965,-0.17921012216744164,-0.17175809385521085,-0.36094105428699,-0.1358117559999515,0.26044914252953216,0.9183165656942132,-1.2865125441739989,0.42228783677262105,0.3219482777615612,0.6605179295192654,0.1794971076731171,0.8622892162782214,0.1357159363625502,-0.7453304960535894
SRB,0.037064578535769055,0.1174836677795934,0.12289268735563885,0.08860246490525947,-0.0935306234167792,-0.2500108179285502,1.1580668997071923,0.5388002648525851,-0.08485483996819217,-0.6205136791214668,-0.6223531218462256,-0.5942763382513513,-0.6259940946574992,-0.6025023328478901,-0.12075878537360836,0.43605065491180334,1.1795889608513594,-0.9601711337026629,0.22648710017266915,0.08230442596661036,0.4715703711206123,0.19856086746854662,1.1143180227969156,0.09270765741861942,-0.6240828362029116
ROU,0.06307159509734817,0.23950398126924366,0.25447080801933675,0.19832969411000811,-0.2791928863172372,-0.7764221648181799,0.8839377388714516,0.2653116161611581,-0.25976888115651464,-0.5843843955323998,-0.5181373218123418,-0.300657566513601,-0.4487676720323409,-0.50747986376625,-0.13788500575300877,0.3896850303731532,0.6677082046549776,-1.108410031421069,0.3086162024771453,0.16149265950899916,0.6309852036310073,-0.24288317806231663,0.7052859088267036,0.227570527366191,-0.34170521944330173
